seed,cost_suez,cost_cape,cost_basestock,cost_oracle,headroom,best_fixed,stress_disruption,stress_freight,stress_port,stress_quality,stress_supplier,stress_demand,max_overlap,overlap_weeks,spot_died,port_block_longest,fog_disruption,fog_freight,fog_port,fog_quality,fog_supplier,fog_demand,fog
27,5064.248,6516.872000000001,4978.2476,5237.2904,-259.04280000000017,5064.248,2,0,1,0,2,0,2,1,0,1,0.0,0.0,nan,nan,0.0,nan,0.0
28,7462.527999999998,8361.292000000001,7090.192400000001,6951.717200000001,138.47519999999986,7462.527999999998,2,0,9,3,2,0,2,5,0,4,0.0,2.0,0.0,0.3333333333333333,0.3333333333333333,nan,0.5333333333333333
29,10113.76,11534.640000000001,8381.7296,6518.0372,1863.6924000000008,10113.76,1,0,8,5,4,8,2,8,0,8,0.0,0.25,0.0,2.0,0.2,0.6666666666666666,0.5194444444444445
30,7464.424000000002,7002.636,7979.633199999999,7950.3452,29.287999999999556,7002.636,20,0,1,4,0,0,2,4,0,1,0.0,1.0,1.0,0.6666666666666666,0.0,nan,0.5333333333333333
31,6697.496000000001,8460.244,6317.8532,5594.2244,723.6287999999995,6697.496000000001,1,0,3,0,4,12,3,4,0,2,0.0,0.3333333333333333,0.0,nan,0.0,1.5,0.36666666666666664
32,7088.0639999999985,9042.096000000001,7254.681999999999,5920.0132,1334.6687999999986,7088.0639999999985,1,0,2,5,2,10,2,5,0,2,0.0,0.125,0.0,1.0,0.0,0.75,0.3125
33,9507.423999999999,10005.136,8725.895200000003,7636.042399999999,1089.8528000000033,9507.423999999999,8,0,3,0,4,15,3,9,0,2,0.0,0.5,0.25,0.3333333333333333,0.25,0.75,0.34722222222222227
34,6783.04,7929.56,6339.3256,5877.125599999999,462.2000000000007,6783.04,4,0,1,0,0,8,2,3,0,1,0.0,0.5,0.0,0.0,nan,1.0,0.3
35,6730.0560000000005,6969.084000000002,5736.0456,6125.6004,-389.5547999999999,6730.0560000000005,8,0,1,0,5,0,1,0,0,1,0.0,0.0,0.25,nan,0.25,nan,0.125
36,5852.383999999998,6518.076,5475.767999999999,4715.272399999999,760.4956000000002,5852.383999999998,2,0,0,0,0,4,1,0,0,0,0.0,nan,0.0,nan,0.0,0.5,0.125
37,7297.272000000001,8762.908,6897.0612,7698.781199999999,-801.7199999999993,7297.272000000001,4,6,0,0,5,0,2,3,0,0,0.0,0.14285714285714285,nan,0.0,0.125,nan,0.06696428571428571
38,8175.6320000000005,10081.447999999999,8190.9360000000015,14820.752400000001,-6629.8164,8175.6320000000005,2,1,3,0,8,8,3,5,0,2,0.0,0.0,0.125,nan,0.2857142857142857,0.0,0.08214285714285714
39,10034.256,12406.383999999998,9170.119599999998,8224.864000000001,945.2555999999968,10034.256,2,12,2,0,1,8,3,6,0,2,0.0,0.2857142857142857,0.5,0.5,0.0,1.0,0.38095238095238093
40,4404.8640000000005,5892.795999999999,4379.1687999999995,4349.6024,29.566399999999703,4404.8640000000005,1,0,0,0,24,4,2,5,1,0,0.0,0.0,nan,0.0,0.0,1.0,0.2
41,5886.792,7677.187999999998,5295.190799999999,4713.6316,581.5591999999997,5886.792,0,0,3,0,4,0,1,0,0,3,0.0,0.0,0.0,nan,0.0,nan,0.0
42,5081.887999999998,6186.832000000001,4833.676400000001,4559.3964,274.28000000000156,5081.887999999998,2,0,1,0,4,0,1,0,0,1,0.0,1.6666666666666667,0.0,0.0,0.0,nan,0.33333333333333337
43,6568.664,9238.496000000001,6379.7608,5554.7984,824.9624000000003,6568.664,2,7,1,0,0,4,2,2,0,1,0.0,0.3333333333333333,0.5,nan,0.0,1.5,0.4666666666666667
44,9806.096,12807.144,9165.209200000001,7423.524399999999,1741.6848000000018,9806.096,9,5,6,0,9,4,3,10,0,5,0.0,0.3333333333333333,0.0,0.5,0.0,0.5,0.2222222222222222
45,5525.92,7940.38,5532.2236,5370.091200000001,162.1323999999995,5525.92,0,2,0,8,0,4,1,0,0,0,0.0,0.3333333333333333,0.25,0.6666666666666666,0.0,0.0,0.20833333333333334
46,6744.936,9246.904,6752.231600000001,5632.6248,1119.6068000000014,6744.936,0,5,0,0,1,10,2,3,0,0,0.0,0.25,0.0,nan,0.0,1.0,0.25
47,8279.968,11374.952000000001,8442.878800000002,8274.3536,168.52520000000186,8279.968,2,9,0,0,0,8,2,5,0,0,0.0,0.2857142857142857,nan,0.0,0.0,0.5,0.15714285714285714
48,9554.112000000003,11486.168,7519.0383999999995,6614.838000000001,904.2003999999988,9554.112000000003,1,0,6,11,0,1,2,1,0,6,0.0,0.0,0.5,1.0,nan,nan,0.375
49,5862.319999999998,6985.479999999999,6404.8315999999995,6258.004000000001,146.8275999999987,5862.319999999998,4,0,6,0,18,13,3,14,1,3,0.0,0.6666666666666666,0.0,nan,0.0,1.0,0.3333333333333333
50,7470.328,8528.492,6180.796399999999,5824.336800000001,356.4595999999983,7470.328,11,0,1,2,19,0,3,9,1,1,0.0,0.0,0.0,1.0,0.0,nan,0.2
51,8228.615999999998,8928.424,7855.78,8497.0676,-641.2876000000006,8228.615999999998,8,0,1,4,2,8,3,8,0,1,0.0,0.0,0.0,0.8333333333333334,0.0,1.25,0.34722222222222227
52,5115.568,6604.352000000002,4691.999599999999,4498.7648,193.23479999999927,5115.568,0,1,1,1,1,0,1,0,0,1,0.0,0.5,0.0,0.0,0.0,nan,0.1
53,9699.96,11546.939999999999,8142.7631999999985,7093.184,1049.5791999999983,9699.96,0,0,7,0,4,12,2,5,0,5,0.0,0.2,0.2,nan,0.0,0.6666666666666666,0.21333333333333332
54,5337.375999999999,6567.564,5194.116,5322.5532,-128.4372000000003,5337.375999999999,1,0,2,0,3,4,2,1,0,1,0.0,0.0,0.0,0.0,0.0,1.5,0.25
55,6337.768000000002,8654.652,6350.7552000000005,5360.236800000001,990.5183999999999,6337.768000000002,0,4,1,0,0,4,2,1,0,1,nan,0.16666666666666666,0.3333333333333333,nan,0.0,1.0,0.375
56,6581.312000000001,7492.468000000002,5503.948800000001,5966.526399999998,-462.5775999999969,6581.312000000001,0,0,3,0,0,4,1,0,0,3,0.0,0.25,0.0,nan,0.0,1.0,0.25
57,6046.504000000001,8971.756000000001,5727.1764,4669.4552,1057.7212,6046.504000000001,0,4,2,0,0,12,2,6,0,1,0.0,0.25,0.0,nan,0.0,1.0,0.25
58,12105.520000000004,14390.779999999999,9308.7672,7700.199200000002,1608.5679999999984,12105.520000000004,2,2,9,4,4,10,4,9,0,8,0.0,0.3333333333333333,0.25,1.0,0.0,1.0,0.4305555555555556
59,6565.536000000001,7406.804000000001,4752.517599999999,4420.568000000001,331.9495999999981,6565.536000000001,6,0,1,1,4,20,2,10,0,1,0.0,0.0,0.5,0.6666666666666666,0.0,0.0,0.19444444444444442
60,7281.976,9289.964000000002,7071.0,5274.4268,1796.5731999999998,7281.976,2,0,1,3,0,8,1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.5,0.08333333333333333
61,5998.360000000001,7114.539999999999,5450.6395999999995,5229.5576,221.08199999999943,5998.360000000001,2,1,1,0,4,0,1,0,0,1,0.0,0.0,0.2,0.0,0.0,nan,0.04
62,6071.464000000001,7921.695999999999,6263.602800000001,5454.2864,809.3164000000006,6071.464000000001,1,0,1,1,2,8,2,1,0,1,0.0,0.5,0.0,3.0,0.3333333333333333,1.0,0.8055555555555555
63,5499.968000000001,7045.452,5611.276400000001,4945.3264,665.9500000000007,5499.968000000001,2,0,2,0,3,4,1,0,0,1,0.0,0.25,0.0,0.25,0.0,0.5,0.16666666666666666
64,6800.776000000002,9079.164,6841.486800000001,7863.447599999999,-1021.960799999998,6800.776000000002,2,5,1,0,6,4,3,3,1,1,0.0,0.25,0.0,1.5,0.0,0.5,0.375
65,6749.2880000000005,8613.932,6568.7636,6590.3956,-21.631999999999607,6749.2880000000005,4,5,1,0,2,0,2,4,0,1,0.0,0.2,0.0,nan,0.5,nan,0.175
66,13473.304,14998.955999999998,9875.9176,9467.016,408.90160000000105,13473.304,3,6,11,0,1,4,3,8,0,8,0.0,0.75,0.14285714285714285,nan,0.0,0.0,0.17857142857142855
67,8731.288,10733.932,7189.2112,6803.142400000001,386.0687999999991,8731.288,6,0,5,0,5,10,2,7,0,5,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.3333333333333333
68,6167.28,7611.420000000001,6397.952,5576.072400000001,821.8795999999993,6167.28,2,0,1,0,0,8,2,2,0,1,0.0,0.0,0.0,nan,0.0,1.0,0.2
69,9801.056,11187.084000000003,7880.572,6599.379999999999,1281.192000000001,9801.056,5,0,8,0,14,0,2,6,1,7,0.0,0.5,0.25,nan,0.5,nan,0.3125
70,5720.328,6789.492000000001,5458.311200000002,3643.6535999999996,1814.6576000000023,5720.328,2,0,2,0,3,0,2,1,0,1,0.0,0.5,0.0,0.0,0.0,nan,0.1
71,6082.760000000001,7684.639999999999,5802.513999999999,6174.5052000000005,-371.9912000000013,6082.760000000001,2,0,2,7,2,0,2,3,0,2,0.0,0.0,0.0,0.6666666666666666,0.0,nan,0.13333333333333333
72,8224.848,10166.272,7717.8931999999995,6216.4444,1501.4487999999992,8224.848,0,0,7,2,5,1,3,4,0,6,0.0,0.0,0.0,0.6666666666666666,0.0,nan,0.13333333333333333
73,6703.384,6363.576000000001,6247.006400000001,6443.982800000001,-196.97639999999956,6363.576000000001,13,0,2,0,8,0,2,2,1,1,0.0,0.0,0.0,0.5,0.0,nan,0.1
74,7480.176000000001,8067.263999999999,7311.410400000001,6296.686000000001,1014.7244000000001,7480.176000000001,0,0,6,1,4,9,3,3,0,5,nan,1.0,0.0,0.0,0.5,2.3333333333333335,0.7666666666666667
75,5778.248,7081.371999999999,5858.565999999999,4831.19,1027.3759999999993,5778.248,2,0,2,2,4,6,3,4,0,2,0.0,0.0,0.0,0.5714285714285714,0.0,0.5,0.17857142857142858
76,5894.296000000001,7720.9439999999995,5300.4792,4795.558800000001,504.92039999999906,5894.296000000001,0,0,3,0,0,0,1,0,0,2,nan,0.5,0.0,nan,nan,nan,0.25
77,10169.944000000001,11745.916000000003,6682.318800000001,6607.747200000001,74.57160000000022,10169.944000000001,5,6,7,0,24,16,5,23,1,4,0.0,0.5,0.0,0.0,0.0,1.0,0.25
78,5911.456,7211.684,6149.776399999999,5583.306,566.4703999999992,5911.456,2,0,2,0,0,8,2,1,0,1,0.0,0.0,0.0,nan,0.0,0.75,0.15
79,5741.304000000001,6579.955999999999,5418.834799999999,5017.54,401.29479999999876,5741.304000000001,4,0,1,0,2,0,2,1,0,1,0.0,nan,0.0,nan,0.5,nan,0.16666666666666666
80,6327.439999999999,8886.16,6711.926,4704.077200000001,2007.8487999999998,6327.439999999999,1,5,1,4,0,4,2,4,0,1,0.0,0.3333333333333333,0.0,1.0,0.0,0.5,0.3055555555555555
81,6729.76,8589.640000000001,6687.477599999999,5678.856400000001,1008.6211999999987,6729.76,4,0,4,0,4,12,2,9,0,3,0.0,0.0,0.0,0.5,0.3333333333333333,0.4,0.20555555555555557
82,7225.880000000001,9130.820000000002,7438.372799999999,5973.5772,1464.7955999999995,7225.880000000001,1,0,9,8,2,3,3,5,0,4,0.0,0.4,0.14285714285714285,0.25,0.3333333333333333,2.0,0.5210317460317461
83,4682.960000000001,6641.94,4881.979200000001,8053.506000000001,-3171.5268000000005,4682.960000000001,1,0,0,0,5,8,2,3,0,0,0.0,2.5,0.0,nan,0.3333333333333333,1.25,0.8166666666666667
84,5954.552,7891.328000000001,5928.398,6780.610400000001,-852.2124000000013,5954.552,0,0,1,2,7,9,2,1,0,1,0.0,0.0,0.0,0.6666666666666666,0.16666666666666666,1.75,0.4305555555555556
85,7623.016,8960.024,7608.3164,6069.4128,1538.9035999999996,7623.016,3,0,4,0,1,8,3,4,0,4,0.0,0.0,0.25,nan,0.0,0.6666666666666666,0.18333333333333332
86,5139.752,7432.628,5087.534000000001,4038.398,1049.1360000000004,5139.752,0,0,0,2,1,3,1,0,0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.25
87,7775.799999999999,9336.2,7181.6756,6422.2708,759.4047999999993,7775.799999999999,4,0,6,0,4,4,3,3,0,5,0.0,1.0,0.0,nan,0.0,0.0,0.2
88,6523.648000000001,8711.971999999998,6100.2487999999985,4945.0544,1155.1943999999985,6523.648000000001,1,0,0,0,2,8,2,1,0,0,0.0,0.25,0.0,nan,0.3333333333333333,0.25,0.16666666666666666
89,5338.728,7131.591999999999,5584.6012,5374.0744,210.52679999999964,5338.728,2,0,2,2,0,4,1,0,0,1,0.0,0.5,0.0,0.3333333333333333,0.0,0.0,0.13888888888888887
90,7043.088,8063.1320000000005,6697.989200000001,5240.128800000001,1457.8603999999996,7043.088,6,0,4,0,3,4,3,4,0,2,0.0,0.0,0.6666666666666666,nan,0.0,1.0,0.3333333333333333
91,5943.959999999999,7415.4400000000005,5528.031199999999,4655.657200000001,872.3739999999989,5943.959999999999,2,0,1,0,0,4,1,0,0,1,0.0,0.0,0.0,nan,0.0,0.5,0.1
92,6367.448,7893.672,6436.2848,5967.3772,468.90760000000046,6367.448,2,0,4,0,0,6,2,3,0,3,0.0,0.0,0.2,1.0,nan,1.0,0.44000000000000006
