model,seed,mean_detection_lag,n_episodes,n_never_detected,knowing_doing_rate,n_undetectable
deepseek-deepseek-v4-pro,39,0.2857142857142857,7,0,0.07692307692307693,0
deepseek-deepseek-v4-pro,44,0.14285714285714285,7,0,0.3157894736842105,1
deepseek-deepseek-v4-pro,53,0.2,5,0,0.3333333333333333,1
deepseek-deepseek-v4-pro,58,0.0,9,1,0.23076923076923078,0
deepseek-deepseek-v4-pro,60,0.2,5,0,0.1,0
deepseek-deepseek-v4-pro,72,0.2,6,1,0.14285714285714285,1
deepseek-deepseek-v4-pro,74,0.6,6,1,0.25,0
deepseek-deepseek-v4-pro,75,0.0,7,4,0.0,0
deepseek-deepseek-v4-pro,82,0.8333333333333334,8,2,0.0,0
deepseek-deepseek-v4-pro,85,0.2,5,0,0.4,1
deepseek-deepseek-v4-pro,86,0.0,3,1,0.25,0
deepseek-deepseek-v4-pro,90,0.2857142857142857,7,0,0.0,0
deepseek-deepseek-v4-pro,91,0.5,2,0,0.0,1
deepseek-deepseek-v4-pro,94,0.125,8,0,0.0,1
deepseek-deepseek-v4-pro,95,0.5,4,0,0.25,0
deepseek-deepseek-v4-pro,99,0.2222222222222222,9,0,0.15384615384615385,0
deepseek-deepseek-v4-pro,100,0.14285714285714285,8,1,0.09090909090909091,0
deepseek-deepseek-v4-pro,108,0.4,7,2,0.6363636363636364,1
deepseek-deepseek-v4-pro,112,0.0,2,0,0.0,0
deepseek-deepseek-v4-pro,119,0.3333333333333333,4,1,0.0,0
deepseek-deepseek-v4-pro,135,0.0,6,1,0.1111111111111111,0
deepseek-deepseek-v4-pro,143,0.0,6,1,0.25,0
deepseek-deepseek-v4-pro,145,0.0,6,0,0.07692307692307693,0
deepseek-deepseek-v4-pro,148,0.0,3,0,0.0,0
deepseek-deepseek-v4-pro,154,0.5555555555555556,9,0,0.18181818181818182,0
deepseek-deepseek-v4-pro,157,0.0,3,2,0.0,0
deepseek-deepseek-v4-pro,160,0.0,2,0,0.0,1
deepseek-deepseek-v4-pro,163,0.4,5,0,0.375,0
deepseek-deepseek-v4-pro,164,0.3333333333333333,7,1,0.0,0
deepseek-deepseek-v4-pro,168,1.25,5,1,0.0,1
deepseek-deepseek-v4-pro,169,1.25,5,1,0.0,0
deepseek-deepseek-v4-pro,170,0.75,5,1,0.3333333333333333,1
deepseek-deepseek-v4-pro,172,0.3333333333333333,4,1,0.375,0
deepseek-deepseek-v4-pro,178,0.2,6,1,0.0,0
deepseek-deepseek-v4-pro,187,0.0,8,0,0.15384615384615385,0
deepseek-deepseek-v4-pro,189,0.6666666666666666,3,0,0.0,0
deepseek-deepseek-v4-pro,194,0.0,2,0,0.375,2
deepseek-deepseek-v4-pro,198,0.0,6,1,0.4,1
google-gemini-3.1-pro-preview,157,0.0,3,2,0.5,0
openai-gpt-5.4,0,1.0,3,0,0.2,1
openai-gpt-5.4,1,0.0,5,0,0.16666666666666666,0
openai-gpt-5.4,9,0.625,8,0,0.0,1
openai-gpt-5.4,11,0.0,3,1,0.0,0
openai-gpt-5.4,12,3.6,6,1,0.0,0
openai-gpt-5.4,14,0.5,6,0,0.3,0
openai-gpt-5.4,21,0.4,5,0,0.1,0
openai-gpt-5.4,24,0.0,1,0,0.0,0
openai-gpt-5.4,25,0.0,5,0,0.0,1
openai-gpt-5.4,29,0.8,5,0,0.07142857142857142,1
openai-gpt-5.4,33,0.0,7,1,0.15384615384615385,0
openai-gpt-5.4,36,0.5,2,0,0.6666666666666666,0
openai-gpt-5.4,39,0.3333333333333333,7,1,0.09090909090909091,0
openai-gpt-5.4,44,0.5714285714285714,7,0,0.0,1
openai-gpt-5.4,53,0.4,5,0,0.25,1
openai-gpt-5.4,58,0.5555555555555556,9,0,0.3333333333333333,0
openai-gpt-5.4,60,0.0,5,0,0.08333333333333333,0
openai-gpt-5.4,72,0.4,6,1,0.0,1
openai-gpt-5.4,74,0.6,6,1,0.0,0
openai-gpt-5.4,75,0.6666666666666666,7,4,0.0,0
openai-gpt-5.4,82,0.125,8,0,0.0,0
openai-gpt-5.4,85,0.0,5,1,0.4444444444444444,1
openai-gpt-5.4,86,0.3333333333333333,3,0,0.0,0
openai-gpt-5.4,90,0.5,7,1,0.14285714285714285,0
openai-gpt-5.4,91,1.0,2,0,0.0,1
openai-gpt-5.4,94,0.125,8,0,0.0,1
openai-gpt-5.4,95,1.0,4,0,0.26666666666666666,0
openai-gpt-5.4,99,0.25,9,1,0.07142857142857142,0
openai-gpt-5.4,100,0.7142857142857143,8,1,0.0,0
openai-gpt-5.4,108,0.2857142857142857,7,0,0.3333333333333333,1
openai-gpt-5.4,112,0.0,2,0,0.0,0
openai-gpt-5.4,119,0.0,4,0,0.058823529411764705,0
openai-gpt-5.4,135,0.0,6,0,0.0,0
openai-gpt-5.4,143,0.0,6,0,0.05555555555555555,0
openai-gpt-5.4,145,0.2,6,1,0.07692307692307693,0
openai-gpt-5.4,148,0.0,3,0,0.0,0
openai-gpt-5.4,154,0.3333333333333333,9,0,0.18181818181818182,0
openai-gpt-5.4,157,0.0,3,0,0.0,0
openai-gpt-5.4,160,0.0,2,0,0.0,1
openai-gpt-5.4,163,0.2,5,0,0.0,0
openai-gpt-5.4,164,0.0,7,1,0.1111111111111111,0
openai-gpt-5.4,168,1.75,5,1,0.0625,1
openai-gpt-5.4,169,0.6,5,0,0.3,0
openai-gpt-5.4,170,0.4,5,0,0.21428571428571427,1
openai-gpt-5.4,172,0.25,4,0,0.16666666666666666,0
openai-gpt-5.4,178,0.2,6,1,0.0,0
openai-gpt-5.4,187,0.25,8,0,0.0,0
openai-gpt-5.4,189,0.3333333333333333,3,0,0.0,0
openai-gpt-5.4,194,0.0,2,0,0.0,2
openai-gpt-5.4,198,0.0,6,0,0.3333333333333333,1
x-ai-grok-4.5,0,0.0,3,0,0.0,1
x-ai-grok-4.5,1,0.0,5,0,0.25,0
x-ai-grok-4.5,9,1.8571428571428572,8,1,0.0,1
x-ai-grok-4.5,11,0.0,3,1,0.0,0
x-ai-grok-4.5,12,0.3333333333333333,6,0,0.2857142857142857,0
x-ai-grok-4.5,14,0.16666666666666666,6,0,0.0,0
x-ai-grok-4.5,21,0.0,5,1,0.25,0
x-ai-grok-4.5,24,0.0,1,0,0.0,0
x-ai-grok-4.5,25,0.0,5,0,0.2857142857142857,1
x-ai-grok-4.5,29,0.4,5,0,0.0,1
x-ai-grok-4.5,33,0.0,7,1,0.26666666666666666,0
x-ai-grok-4.5,36,0.5,2,0,0.0,0
x-ai-grok-4.5,39,0.3333333333333333,7,1,0.2857142857142857,0
x-ai-grok-4.5,44,0.14285714285714285,7,0,0.15789473684210525,1
x-ai-grok-4.5,53,1.0,5,0,0.15384615384615385,1
x-ai-grok-4.5,58,0.2222222222222222,9,0,0.14285714285714285,0
x-ai-grok-4.5,60,0.0,5,0,0.16666666666666666,0
x-ai-grok-4.5,72,2.0,6,1,0.14285714285714285,1
x-ai-grok-4.5,74,2.8,6,1,0.36363636363636365,0
x-ai-grok-4.5,75,0.0,7,3,0.0,0
x-ai-grok-4.5,82,0.3333333333333333,8,2,0.0,0
x-ai-grok-4.5,85,0.0,5,1,0.3,1
x-ai-grok-4.5,86,0.0,3,0,0.0,0
x-ai-grok-4.5,90,0.0,7,1,0.0,0
x-ai-grok-4.5,91,0.5,2,0,0.0,1
x-ai-grok-4.5,94,0.375,8,0,0.07142857142857142,1
x-ai-grok-4.5,95,0.25,4,0,0.17647058823529413,0
x-ai-grok-4.5,99,0.2222222222222222,9,0,0.46153846153846156,0
x-ai-grok-4.5,100,0.0,8,1,0.09090909090909091,0
x-ai-grok-4.5,108,0.3333333333333333,7,1,0.4166666666666667,1
x-ai-grok-4.5,112,0.5,2,0,0.0,0
x-ai-grok-4.5,119,1.75,4,0,0.19047619047619047,0
x-ai-grok-4.5,135,0.0,6,1,0.0,0
x-ai-grok-4.5,143,0.0,6,0,0.0,0
x-ai-grok-4.5,145,0.16666666666666666,6,0,0.07142857142857142,0
x-ai-grok-4.5,148,0.0,3,0,0.0,0
x-ai-grok-4.5,154,0.1111111111111111,9,0,0.0,0
x-ai-grok-4.5,157,0.0,3,0,0.0,0
x-ai-grok-4.5,160,0.0,2,0,0.0,1
x-ai-grok-4.5,163,0.0,5,0,0.25,0
x-ai-grok-4.5,164,0.0,7,1,0.0,0
x-ai-grok-4.5,168,0.2,5,0,0.2,1
x-ai-grok-4.5,169,0.0,5,1,0.2727272727272727,0
x-ai-grok-4.5,170,0.0,5,0,0.17647058823529413,1
x-ai-grok-4.5,172,0.25,4,0,0.0,0
x-ai-grok-4.5,178,0.0,6,1,0.0,0
x-ai-grok-4.5,187,0.0,8,0,0.08333333333333333,0
x-ai-grok-4.5,189,1.0,3,0,0.0,0
x-ai-grok-4.5,194,0.0,2,0,0.2222222222222222,2
x-ai-grok-4.5,198,0.0,6,0,0.25,1
